Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","10577","Estimated","Estimated using previous year's AADF on this link","Wales","Caerphilly","A467","PR","321480","195000","A4048","A472","3.41999999999999990","37.42","111.02","19818.7","259.46","2286.49","527.65","140.96","162.16","91.06","242","165.9","1329.73","23805.4"
"2000","10579","Estimated","Estimated using previous year's AADF on this link","Wales","Caerphilly","A469","PU","315600","197600","B4254","A4049","0.37000000000000000","2.45","5.17","925.48","15.92","132.95","23.68","1.91","3.27","1.22","0.54","0","30.62","1110.14"
"2000","10626","Estimated","Estimated using previous year's AADF on this link","Wales","Caerphilly","A4048","PR","317700","200000","Rhiw Syr Dafydd Hill","B4511 Penylan Rd","1.37000000000000010","1","8.98","2242.83","47.9","321.33","51.39","6.49","8.98","5.49","6.49","9.48","88.32","2709.36"
"2000","30578","Estimated","Estimated using previous year's AADF on this link","Wales","Caerphilly","A467","PR","321250","197000","Central Avenue, Newbridge","A472","0.93000000000000000","5.78","31.64","4556.31","46.61","761.37","177.58","28.58","18.71","39.8","60.56","43.89","369.12","5765.04"
"2000","40579","Counted","Manual count","Wales","Caerphilly","A467","PR","323900","190000","B4591","A4048","2.41999999999999990","9.73","166.29","17364","137.1","1809.73","804.03","81.38","81.38","120.29","250.32","125.6","1463","20940.2"
"2000","40625","Estimated","Estimated using previous year's AADF on this link","Wales","Caerphilly","A4048","PR","320000","191120","A472","A467 Split","4.09999999999999960","29.94","122.74","12081.3","179.63","1664.53","191.6","38.92","1.5","5.99","10.48","10.48","258.96","14307.2"
"2000","50581","Estimated","Estimated using previous year's AADF on this link","Wales","Caerphilly","A4049","PU","316810","195140","A472","A4048","0.87000000000000000","3.18","26.99","3623.55","19.37","508.03","127.64","22.23","22.23","25.08","15.88","10.8","223.85","4401.79"
"2000","70096","Counted","Manual count","Wales","Caerphilly","A469","PR","315778","185076","LA Boundary","A469","0.68000000000000000","2.74","16.22","3229.28","21.95","241.75","21.7","0.25","0.25","0.5","0","0.25","22.95","3532.15"
"2000","70371","Counted","Manual count","Wales","Caerphilly","A469","PU","314500","185810","Watford Rd (minor road)","A468","0.81000000000000000","2.36","8.26","1528.75","6.78","112.92","13.27","0.88","3.24","0.29","0","0","17.69","1674.4"
"2000","70372","Estimated","Estimated using previous year's AADF on this link","Wales","Caerphilly","A468","PU","314820","188500","A469 Penrhos R/A","A469 Pwllypant","1.99000000000000000","6.53","103.06","16562.6","93.62","2288.33","603.11","69.67","158.22","82.74","166.2","71.12","1151.06","20198.7"
"2000","73077","Estimated","Estimated using previous year's AADF on this link","Wales","Caerphilly","A467","PR","321150","199000","A472","LA Boundary","0.99000000000000000","0","30.12","3512.32","30.84","540.69","119.75","13.79","34.47","20.68","43.18","42.46","274.34","4388.32"
"2000","73079","Counted","Dependent on a neighbouring counted link","Wales","Caerphilly","A4048","PR","316450","202000","B4511 Penylan Rd","LA Boundary","2.91999999999999990","7.46","62.89","4003.75","77.82","655.57","102.33","12.79","7.46","4.26","9.59","15.99","152.43","4952.46"
"2000","73204","Estimated","Estimated from nearby links","Wales","Caerphilly","A472","PR","323000","198950","road from Swffryn","LA Boundary","1.42999999999999990","0","184.14","6258.13","59.99","887.31","286.9","47.47","25.56","25.04","58.42","27.13","470.52","7860.09"
"2000","78420","Estimated","Estimated using previous year's AADF on this link","Wales","Caerphilly","A472","PU","314340","194300","Maes-y-Coed","A469","0.87000000000000000","9.53","6.99","3267.92","22.86","364.51","86.37","20.32","10.16","7.3","15.56","5.72","145.42","3807.71"
"2000","78421","Estimated","Estimated from nearby links","Wales","Caerphilly","A467","PU","321340","196700","A472","Central Avenue, Newbridge","0.19000000000000000","1.16","6.33","920.38","9.46","153.84","35.86","5.72","3.74","8.03","12.25","8.91","74.5","1164.51"
"2000","78422","Estimated","Estimated from nearby links","Wales","Caerphilly","A472","PU","321700","198580","A467","road to Swffryd","0.81000000000000000","0","115.58","3926.39","37.44","556.66","179.85","29.78","15.92","15.63","36.86","16.81","294.84","4930.91"
"2000","78423","Estimated","Estimated using previous year's AADF on this link","Wales","Caerphilly","A4048","PU","317460","197000","A4049","Rhiw Syr Dafydd Hill","2.04999999999999980","77.84","45.65","8458.14","193.1","787.36","149.69","26.94","13.47","21.7","25.45","11.23","248.48","9732.73"
"2000","78424","Estimated","Estimated using previous year's AADF on this link","Wales","Caerphilly","A4049","PU","315890","199250","A469","B4511 Bedwellty Rd","1.74000000000000000","6.35","13.97","4877.75","103.51","638.22","102.88","7.62","7.62","4.45","1.91","7.62","132.09","5765.54"
"2000","78425","Estimated","Estimated using previous year's AADF on this link","Wales","Caerphilly","A469","PR","315060","202000","Bridge St, Aberbargoed","A4049","3.23000000000000000","2.36","15.33","3730.32","87.27","399.8","99.07","11.79","10.61","8.26","9.43","2.36","141.52","4374.26"
"2000","78429","Estimated","Estimated using previous year's AADF on this link","Wales","Caerphilly","A469","PR","315000","185300","A469","Watford Rd (minor road)","0.75000000000000000","2.18","8.98","1758.7","13.88","96.62","15.79","0.54","0.27","0.27","0.27","0.27","17.42","1895.6"
"2000","78430","Estimated","Estimated using previous year's AADF on this link","Wales","Caerphilly","A468","PR","320000","188960","road to Waterloo","LA Boundary","2.04999999999999980","14.97","59.13","6423.87","77.84","761.91","203.58","35.18","32.18","40.42","187.11","59.13","557.59","7880.34"
"2000","78483","Estimated","Estimated from nearby links","Wales","Caerphilly","A467","PR","324750","189440","LA Boundary","B4591","0.56000000000000000","2.25","36.95","3846.85","30.41","400.89","178.2","17.96","17.96","26.54","55.52","27.76","323.94","4639.05"
"2000","99584","Counted","Manual count","Wales","Caerphilly","A468","PR","317000","188500","A469","road to Waterloo","2.91999999999999990","11.73","94.87","17696","278.22","2001.88","695.01","88.47","76.75","101.27","139.64","60.76","1161.9","21232.9"
"2000","99593","Estimated","Estimated using previous year's AADF on this link","Wales","Caerphilly","A472","PU","320000","196250","A4048","A467","2.66999999999999990","0","52.66","9791.43","98.5","1636.46","443.74","52.66","78.99","60.47","77.04","97.52","810.43","12389.5"
"2000","99594","Estimated","Estimated using previous year's AADF on this link","Wales","Caerphilly","A472","PR","316810","194990","A4049","A4048","0.68000000000000000","2.49","28.19","3577.05","17.21","504.45","106.28","13.47","23.45","14.47","16.96","19.46","194.1","4321"
"2000","99595","Estimated","Estimated using previous year's AADF on this link","Wales","Caerphilly","A472","PU","315000","194200","A469","A472","1.30000000000000010","5.24","61.44","7912.93","83.35","1147.36","251","42.39","72.87","27.15","29.05","39.53","461.99","9667.08"
"2000","99596","Estimated","Estimated using previous year's AADF on this link","Wales","Caerphilly","A472","PR","312000","195400","LA Boundary","Maes-y-Coed, Ystrad Mynach","2.49000000000000020","20.87","40.82","8558.54","80.74","1345.38","266.72","48.08","42.64","12.7","9.98","28.12","408.24","10433.7"
"2000","99664","Counted","Manual count","Wales","Caerphilly","A465","TR","309600","209180","LA Boundary","A469","1.55000000000000000","0","36.86","9078.82","74.84","1445.85","380.46","64.64","34.59","89.59","167.27","116.24","852.77","11489.2"
