Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","530","Estimated","Estimated using previous year's AADF on this link","Wales","Merthyr Tydfil","A465","TR","301000","207380","B42776 Merthyr Road","Swansea Rd","0.68000000000000000","0.75","26.44","3578.55","49.65","460.29","210.31","18.21","22.7","22.7","43.41","38.67","356.01","4470.94"
"2000","10537","Estimated","Estimated using previous year's AADF on this link","Wales","Merthyr Tydfil","A465","TR","305000","208600","A4054","A4060","3.16999999999999990","3.47","55.52","10525.8","90.22","1538.39","892.96","85.59","157.31","119.14","247.53","182.76","1685.29","13895.2"
"2000","10547","Estimated","Estimated using previous year's AADF on this link","Wales","Merthyr Tydfil","A4054","PR","307600","200000","Commercial Terrace, Treharris","B4285 Bridge St, Troedyrhiw","4.16000000000000010","15.2","54.7","4789.66","107.89","569.84","127.64","6.08","1.52","0","4.56","12.16","151.96","5674.05"
"2000","20642","Estimated","Estimated using previous year's AADF on this link","Wales","Merthyr Tydfil","A4102","PU","304000","206700","A470(T)","A4054","0.37000000000000000","0.41","2.31","712.11","33.88","106.28","20.14","0.41","0.14","0.27","0.41","0.27","21.64","876.22"
"2000","30536","Estimated","Estimated using previous year's AADF on this link","Wales","Merthyr Tydfil","A465","TR","302240","207412","Swansea Rd","A470","0.81000000000000000","0.88","13.86","2950.76","32.43","765.7","160.69","31.55","99.07","20.93","62.21","101.43","475.87","4238.63"
"2000","30545","Estimated","Estimated using previous year's AADF on this link","Wales","Merthyr Tydfil","A470","TR","302000","209995","A4054","LA Boundary","3.29000000000000010","12.02","103.38","4818.99","36.06","589","240.41","32.46","16.83","22.84","43.27","57.7","413.5","5960.93"
"2000","30546","Counted","Manual count","Wales","Merthyr Tydfil","A470","TR","305100","204000","Pentrebach","A4102S","1.68000000000000010","0.61","113.9","7321.39","42.87","881.19","185.55","36.13","42.87","45.93","74.1","47.76","432.33","8791.67"
"2000","30574","Counted","Manual count","Wales","Merthyr Tydfil","A4060","TR","306630","207200","A4102","A465","1.80000000000000000","1.97","17.1","5747.83","13.81","834.65","221.65","26.31","32.89","69.72","89.45","65.77","505.79","7119.18"
"2000","60076","Counted","Manual count","Wales","Merthyr Tydfil","A4102","PU","304950","206520","A4102","A4102","0.56000000000000000","2.65","4.29","1136.95","42.66","146.76","14.29","1.02","0.61","0.2","0.2","1.02","17.35","1348.01"
"2000","73205","Counted","Dependent on a neighbouring counted link","Wales","Merthyr Tydfil","A465","TR","308050","208450","A4060","LA Boundary","0.37000000000000000","0","8.85","2178.92","17.96","347","91.31","15.51","8.3","21.5","40.14","27.9","204.66","2757.4"
"2000","73206","Estimated","Estimated using previous year's AADF on this link","Wales","Merthyr Tydfil","A472","PR","309650","195570","A4054","LA Boundary","0.37000000000000000","3.13","6.12","1283.78","12.11","201.81","40.01","7.21","6.4","1.91","1.5","4.22","61.24","1565.06"
"2000","74071","Estimated","Estimated using previous year's AADF on this link","Wales","Merthyr Tydfil","A4054","PR","309270","195455","LA Boundary","A472","0.37000000000000000","6.94","6.8","530.58","9.12","86.14","27.35","0.95","0.68","0.54","1.36","2.59","33.48","666.11"
"2000","74074","Estimated","Estimated using previous year's AADF on this link","Wales","Merthyr Tydfil","A470","TR","302290","208980","LA Boundary","A4054","0.25000000000000000","0.45","3.27","309.81","1.09","41.28","15.06","2.54","1.27","1.91","3.45","5.17","29.39","384.84"
"2000","74076","Estimated","Estimated using previous year's AADF on this link","Wales","Merthyr Tydfil","A472","PR","309325","195690","LA Boundary","A4054","0.12000000000000000","0.68","4.99","737.83","10.34","91.9","39.6","3.76","3.22","1.91","2.09","3.36","53.93","898.99"
"2000","74219","Counted","Manual count","Wales","Merthyr Tydfil","A4054","PU","305440","205000","A4060","A4102","1.30000000000000010","10.48","28.1","4969.04","144.79","543.91","68.11","14.29","4.76","1.91","4.29","6.67","100.02","5785.86"
"2000","78468","Estimated","Estimated using previous year's AADF on this link","Wales","Merthyr Tydfil","A4054","PU","306750","203100","B4285 Bridge St, Troedyrhiw","A4060","1.17999999999999990","10.77","10.34","3632.66","78.43","395.15","49.99","4.31","5.17","0.86","6.03","1.72","68.09","4184.67"
"2000","78469","Estimated","Estimated from nearby links","Wales","Merthyr Tydfil","A4102","PU","305180","206750","A4102","road to Baden Terrace","0.56000000000000000","2.65","4.29","1148.38","43.07","148.19","14.29","1.02","0.61","0.2","0.2","1.02","17.35","1361.28"
"2000","78471","Estimated","Estimated using previous year's AADF on this link","Wales","Merthyr Tydfil","A4054","PU","309670","196500","A472","Commercial Terrace, Treharris","1.06000000000000010","1.93","5.4","2072.39","32.39","211.29","39.71","4.63","1.54","1.93","2.31","1.54","51.67","2373.13"
"2000","99576","Estimated","Estimated using previous year's AADF on this link","Wales","Merthyr Tydfil","A4060","TR","305900","205000","A4054","A4102","1.55000000000000000","3.4","28.92","6534.12","35.15","851.07","325.46","31.75","96.96","44.23","66.34","93.56","658.29","8107.55"
"2000","99580","Counted","Manual count","Wales","Merthyr Tydfil","A4102","PR","306200","206370","road to Baden Terrace, Merthyr Tydfil","A4060 Twynrodyn","0.68000000000000000","1.75","10.23","1689.73","10.73","241.25","38.42","3.74","4.24","3.24","2.49","2","54.14","2006.07"
"2000","99585","Estimated","Estimated using previous year's AADF on this link","Wales","Merthyr Tydfil","A4060","TR","306230","203350","A470(T)","A4054","0.62000000000000000","0.23","12.7","2236.03","22.91","334.76","151.28","16.33","17.92","19.96","25.63","33.34","264.45","2870.84"
"2000","99588","Counted","Manual count","Wales","Merthyr Tydfil","A470","TR","307770","198000","LA Boundary","A4060","4.96999999999999980","0","166.93","33512","243.13","5031.34","1039.65","188.7","185.07","217.73","437.27","346.55","2414.97","41368.4"
"2000","99647","Counted","Manual count","Wales","Merthyr Tydfil","A4054","PR","302700","208450","A465","A470","0.81000000000000000","3.83","2.36","167.47","2.95","38.03","6.49","0.88","0","0.59","0.59","0","8.55","219.36"
"2000","99648","Counted","Manual count","Wales","Merthyr Tydfil","A4054","PU","303400","207830","A4102 W","A465","1.37000000000000010","11.98","15.47","2192.43","78.84","303.87","60.87","6.99","2","1","2","1.5","74.35","2664.95"
"2000","99651","Counted","Manual count","Wales","Merthyr Tydfil","A4054","PU","304920","205680","A4102 (S)","A4102 (N)","0.87000000000000000","4.76","8.89","3790.24","102.24","338.79","47.31","3.49","1.59","3.49","2.54","1.59","60.01","4300.18"
"2000","99653","Counted","Manual count","Wales","Merthyr Tydfil","A4102","PR","304920","205560","A470(T)","A4054","0.37000000000000000","0.27","2.31","1123.89","7.08","124.51","15.38","1.63","4.35","1.63","2.04","2.45","27.49","1285.28"
"2000","99657","Estimated","Estimated using previous year's AADF on this link","Wales","Merthyr Tydfil","A470","TR","302400","208200","A465","LA Boundary","0.56000000000000000","1.02","7.35","697.07","2.45","92.87","33.88","5.72","2.86","4.29","7.76","11.63","66.14","865.88"
"2000","99658","Counted","Manual count","Wales","Merthyr Tydfil","A470","TR","303350","207300","A4102 N","A465","0.93000000000000000","0","3.06","3419.7","30.28","463.35","97.64","13.95","20.07","13.61","36.4","17.69","199.36","4115.75"
"2000","99659","Estimated","Estimated using previous year's AADF on this link","Wales","Merthyr Tydfil","A470","TR","304150","206000","A4102","A4102 Swansea Rd","1.24000000000000000","4.54","15.88","5567.5","41.28","513.02","240.86","19.96","15.88","35.38","37.2","38.56","387.83","6525.5"
"2000","99663","Estimated","Estimated using previous year's AADF on this link","Wales","Merthyr Tydfil","A465","TR","302880","207950","A470","A4054","0.25000000000000000","0.54","8.44","1067.05","6.08","172.37","67.77","5.99","8.71","8.07","15.88","18.14","124.56","1378.49"
"2001","530","Estimated","Estimated using previous year's AADF on this link","Wales","Merthyr Tydfil","A465","TR","301000","207380","B42776 Merthyr Road","Swansea Rd","0.68000000000000000","0.75","29.19","3689.57","51.14","485.99","207.32","20.96","22.7","20.71","38.42","44.91","355.01","4610.9"
