Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","26537","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicester","A50","PU","458180","305000","Fosse Rd North","A46(T)/A594","0.68000000000000000","36.42","62.62","4862.63","200.33","850.48","168.65","12.22","17.21","9.98","6.99","8.48","223.53","6199.59"
"2000","28724","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicester","A594","PU","458900","303130","A5199","A594 Waterloo Way","0.19000000000000000","14.08","18.17","1766.93","39.33","259.57","43.89","2.93","1.43","1.91","0.88","0.41","51.44","2135.44"
"2000","28841","Counted","Manual count","East Midlands","Leicester","A6030","PU","461620","304880","A6","A47","2.35999999999999990","76.7","125.83","11203.1","157.72","1375.5","218.91","24.99","37.06","16.37","24.13","15.51","336.98","13199.1"
"2000","36502","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicester","A594","PU","458800","305130","A6","A607","0.31000000000000000","11.79","37.99","5068.54","24.95","736.87","119.75","11.23","2.95","8.39","9.3","8.73","160.35","6028.7"
"2000","36524","Counted","Manual count","East Midlands","Leicester","A594","PU","459200","305000","A47","A607","0.37000000000000000","8.71","37.83","5384.02","31.16","657.54","110.91","8.85","2.99","10.34","10.07","8.71","151.87","6262.42"
"2000","36549","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicester","A5199","PU","459000","302800","B568","A594","0.37000000000000000","20.14","27.22","3262.93","25.99","296.66","34.43","2.86","1.63","1.63","3.4","1.22","45.18","3657.97"
"2000","37166","Counted","Manual count","East Midlands","Leicester","A426","PU","458000","301700","A563","A594","2.16999999999999990","200.04","249.25","13050.9","377.06","1954.34","361.18","25.4","14.29","29.37","26.2","18.26","474.69","16106.2"
"2000","37820","Counted","Manual count","East Midlands","Leicester","A6","PU","458270","306020","A594","Blackbird Rd","0.81000000000000000","48.65","80.79","5740.55","41.28","782.8","124.72","7.67","6.78","9.73","8.55","7.08","164.52","6809.93"
"2000","38506","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicester","A594","PU","458430","304160","Newarke St/Oxford St","A47","0.19000000000000000","6.74","32.32","2118.97","8.23","344.62","49.53","4.69","1.63","1.7","1.77","0.88","60.22","2564.37"
"2000","38696","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicester","A594","PU","459375","304371","A6","A47","0.56000000000000000","23.27","71.44","6667.39","16.13","748.1","120.84","12.25","4.9","9.59","10","11.43","169.01","7672.07"
"2000","46522","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicester","A47","PU","461700","305320","A6030","A563","0.93000000000000000","108.52","78.59","4692.39","231","681.76","168.4","21.09","7.14","13.95","26.54","31.3","268.42","5952.15"
"2000","47805","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicester","A6030","PU","459600","307140","A607","Loughborough Rd","0.31000000000000000","8.73","2.15","849.25","11.34","135.63","8.51","0.79","0.45","1.36","0.34","0.11","11.57","1009.94"
"2000","47928","Counted","Manual count","East Midlands","Leicester","A6030","PU","459340","307320","A6030 Checketts Rd","A563","0.56000000000000000","18.78","20","2608.45","77.57","384.56","65.11","6.53","3.88","3.47","5.1","1.22","85.32","3175.91"
"2000","48402","Counted","Manual count","East Midlands","Leicester","A594","PU","458700","303030","A426","A5199","0.19000000000000000","8.03","15.58","955.83","13","109.82","19.46","2.52","2.04","0.95","1.02","1.56","27.56","1121.78"
"2000","48489","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicester","A594","PU","458290","304630","A46/A50","A47","0.25000000000000000","26.31","65.23","4968.93","43.36","737.83","134.36","16.6","5.81","9.43","7.98","8.62","182.8","5998.15"
"2000","48677","Counted","Manual count","East Midlands","Leicester","A47","PU","459606","304875","A594","Dysart Way","0.31000000000000000","41.84","36.51","2954.87","128.82","444.53","87.2","9.07","4.31","7.03","9.64","7.94","125.19","3689.93"
"2000","48721","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicester","A563","PU","461000","301040","A5199","LA Boundary","0.75000000000000000","16.33","30.21","4332.52","12.25","499.14","134.99","19.87","17.42","16.87","24.77","13.61","227.53","5101.65"
"2000","48776","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicester","A563","PU","456000","307070","A50","A5630","0.62000000000000000","42.87","54.21","5577.7","38.56","641.39","111.13","15.65","16.56","14.52","24.27","15.42","197.54","6509.4"
"2000","48777","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicester","A5460","PU","457100","302800","Evesham Rd","A47","1.17999999999999990","91.79","79.72","9446.65","260.71","1094.54","196.5","29.73","7.33","29.73","18.53","18.1","299.92","11181.5"
"2000","56147","Counted","Manual count","East Midlands","Leicester","A6","PU","460180","303000","A6030","B6416","0.75000000000000000","94.98","54.7","5880.3","110.5","505.13","94.17","6.53","1.91","4.63","6.8","3.54","117.57","6668.21"
"2000","56161","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicester","A6","PU","459340","304000","B6416","A594","0.68000000000000000","87.32","49.65","7326.74","218.3","578.05","71.1","6.24","4.49","4.24","6.49","2.49","95.05","8267.79"
"2000","56428","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicester","A607","PU","460000","307300","A6030","A563","0.81000000000000000","71.94","58.38","4372.78","123.24","607.67","104.96","14.45","9.43","10.91","7.37","6.49","153.61","5315.68"
"2000","56435","Counted","Manual count","East Midlands","Leicester","A47","PU","458117","304321","A5460","A594","0.31000000000000000","34.7","20.98","3664.53","87.66","432.74","72.58","6.24","1.81","7.82","9.64","4.2","102.29","4308.19"
"2000","56456","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicester","A47","PU","456000","304250","A563","Woodville Rd","1.17999999999999990","113.33","69.81","8145.7","282.68","997.58","130.57","9.91","3.02","7.76","9.91","8.19","169.35","9665.13"
"2000","56464","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicester","A594","PU","458400","304800","A50/A46","A6","0.25000000000000000","10.16","38.1","3629.62","30.03","601.57","95.89","11.43","3.54","9.62","6.26","9.71","136.44","4435.76"
"2000","56484","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicester","A47","PU","457000","304240","Woodville Rd","A5460","0.68000000000000000","65.11","57.88","4277.34","169.9","522.41","68.11","6.99","2.25","8.98","5.49","6.24","98.05","5125.58"
"2000","57072","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicester","A426","PU","457060","300000","LA Boundary","A563","0.31000000000000000","14.97","16.56","1667.1","30.05","256.17","32.32","1.59","1.59","1.47","4.08","0.91","41.96","2011.83"
"2000","57779","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicester","A6","PU","458670","307000","Blackbird Rd","A563","1.12000000000000010","42.46","95.12","9180.52","147.37","1265.55","279.64","46.13","19.6","13.88","17.96","15.51","392.73","11081.3"
"2000","58099","Counted","Manual count","East Midlands","Leicester","A594","PU","458670","303200","A426","A594 Welford Rd","0.37000000000000000","46.27","56.07","3325.12","90.36","399.26","60.56","4.63","2.59","4.22","2.72","0.95","75.66","3946.46"
"2000","58274","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicester","A50","PU","456697","306001","A563","Fosse Rd North","1.30000000000000010","78.59","70.97","8186.79","171.46","1120.21","248.14","24.29","8.57","25.24","40.01","25.24","371.5","9920.93"
"2000","58283","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicester","A594","PU","459000","303365","A594 Welford Rd","A6","0.56000000000000000","23.47","34.09","2981.38","13.27","401.5","59.4","5.51","0.41","6.12","4.08","4.9","80.42","3510.67"
"2000","58400","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicester","A6030","PU","460000","306930","A47","A607","1.85999999999999990","155.81","113.63","6069.18","133.36","900.85","117.03","4.76","2.04","4.08","2.04","4.76","134.72","7351.74"
"2000","60036","Counted","Manual count","East Midlands","Leicester","A563","PU","457000","307870","A5630","A6","2.10999999999999990","87.14","117.98","13818.5","56.29","2233.94","460.36","90.22","68.63","155.77","222.85","94.08","1091.91","17318.6"
"2000","70290","Counted","Manual count","East Midlands","Leicester","A594","PU","458640","303830","Aylestone Rd/Welford Rd","Vaughan Way","0.43000000000000000","23.97","53.03","3936.94","141.3","428.18","72.08","3.81","2.54","2.54","2.86","1.43","85.25","4644.69"
"2000","73713","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicester","A5199","PU","460104","300454","LA Boundary","A563","0.25000000000000000","14.88","17.42","1749.81","27.49","192.15","30.12","1.63","1","2.36","2.09","1.27","38.47","2025.33"
"2000","73716","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicester","A47","TU","463760","304250","B667","LA Boundary","0.31000000000000000","9.98","4.42","1453.45","23.7","161.94","52.5","4.54","9.07","9.19","37.65","15.42","128.37","1771.88"
"2000","73717","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicester","A607","PU","460525","308360","A563","LA Boundary","0.31000000000000000","4.54","22.68","2562.96","35.15","423.21","119.75","11.91","8.73","11.57","20.87","19.62","192.44","3236.44"
"2000","73721","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicester","A50","PU","455500","306420","LA Boundary","A563","0.37000000000000000","15.51","22.86","2771.68","48.58","338.43","82.74","6.67","7.89","10.34","22.86","10.07","140.57","3322.13"
"2000","73723","Estimated","Estimated using previous year's AADF on this link","East Midlands","Leicester","A47","PU","454611","303777","LA Boundary","A563","0.56000000000000000","19.6","34.9","3752.35","76.14","448.86","81.24","8.16","3.47","8.78","24.09","4.08","129.82","4442.07"
"2000","73724","Counted","Dependent on a neighbouring counted link","East Midlands","Leicester","A563","PU","455120","303500","A47","LA Boundary","0.56000000000000000","21.84","45.52","5489.21","23.88","658.29","117.37","13.88","9.59","20.21","33.07","29.6","223.72","6440.61"
"2000","73725","Counted","Dependent on a neighbouring counted link","East Midlands","Leicester","A563","PU","456700","300240","LA Boundary","A426","0.50000000000000000","31.03","54.07","5935.64","27.76","825.92","199.58","20.32","20.5","27.22","55.52","23.41","346.55","7189.94"
"2000","99342","Counted","Manual count","East Midlands","Leicester","A607","PU","459400","306000","A594","A6030","1.24000000000000000","99.34","120.66","10928.6","430.01","1352.18","183.71","15.42","5.9","15.42","20.87","12.25","253.56","13085"
